523 8988
FLIP 1 66
OR 2 1
XOR 2 1
XOR 1 2
AND 1 2
FLIP 2 79
AND 2 1
AND 2 1
FLIP 2 259
SET 2 277
SET 2 290
XOR 2 1
FLIP 2 204
AND 2 1
XOR 1 2
XOR 2 1
SET 2 488
FLIP 2 515
FLIP 2 449
FLIP 1 88
OR 1 2
XOR 2 1
SET 2 135
AND 1 2
XOR 2 1
OR 2 1
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
SET 1 214
SET 1 351
OR 2 1
SET 2 441
SET 2 138
FLIP 1 66
AND 2 1
FLIP 1 192
FLIP 1 394
FLIP 1 428
AND 2 1
SET 2 308
SET 2 260
FLIP 1 247
XOR 1 2
AND 1 2
AND 1 2
OR 1 2
XOR 2 1
OR 2 1
XOR 1 2
OR 2 1
AND 2 1
OR 1 2
SET 2 406
AND 2 1
XOR 2 1
OR 2 1
XOR 2 1
SET 2 365
SET 2 265
FLIP 1 10
XOR 2 1
AND 1 2
XOR 2 1
FLIP 1 161
XOR 1 2
SET 2 354
OR 1 2
OR 2 1
SET 2 287
SET 1 443
XOR 2 1
FLIP 2 214
OR 2 1
XOR 2 1
OR 2 1
SET 1 293
SET 2 29
SET 1 135
SET 2 204
XOR 2 1
FLIP 2 43
AND 1 2
FLIP 1 152
XOR 1 2
AND 2 1
OR 2 1
OR 2 1
FLIP 1 350
SET 2 442
OR 1 2
FLIP 2 382
XOR 1 2
FLIP 2 123
OR 2 1
SET 2 252
OR 2 1
XOR 2 1
OR 1 2
FLIP 2 202
AND 1 2
OR 2 1
OR 2 1
FLIP 2 284
AND 1 2
OR 1 2
SET 1 44
SET 1 167
AND 1 2
XOR 2 1
OR 2 1
FLIP 1 184
AND 1 2
AND 2 1
FLIP 1 44
AND 1 2
OR 1 2
AND 2 1
XOR 2 1
XOR 1 2
XOR 1 2
OR 2 1
XOR 2 1
OR 1 2
SET 2 416
SET 2 409
SET 1 76
SET 2 313
XOR 1 2
AND 1 2
AND 1 2
AND 2 1
OR 2 1
XOR 2 1
OR 1 2
FLIP 1 406
SET 2 232
XOR 2 1
OR 1 2
SET 1 352
FLIP 1 172
FLIP 2 479
AND 1 2
FLIP 1 155
SET 2 372
FLIP 2 76
XOR 2 1
SET 2 310
FLIP 1 205
SET 1 184
OR 1 2
AND 2 1
XOR 2 1
FLIP 1 370
XOR 1 2
AND 2 1
OR 1 2
FLIP 1 289
XOR 2 1
XOR 1 2
FLIP 1 415
XOR 2 1
FLIP 1 48
XOR 2 1
OR 2 1
OR 2 1
OR 1 2
OR 2 1
OR 2 1
AND 1 2
SET 1 244
AND 2 1
SET 1 312
XOR 1 2
SET 1 75
SET 2 473
AND 2 1
AND 2 1
OR 2 1
SET 1 191
OR 2 1
FLIP 1 289
OR 1 2
AND 2 1
XOR 1 2
SET 2 336
OR 2 1
OR 1 2
AND 2 1
FLIP 1 342
OR 2 1
XOR 2 1
SET 2 389
AND 1 2
SET 1 136
FLIP 1 199
FLIP 1 21
FLIP 1 446
SET 1 304
SET 1 480
FLIP 2 56
OR 2 1
AND 1 2
OR 2 1
AND 1 2
FLIP 2 419
OR 1 2
SET 2 16
OR 2 1
XOR 1 2
OR 1 2
AND 2 1
SET 2 496
FLIP 1 339
SET 2 99
XOR 2 1
OR 1 2
FLIP 1 320
OR 2 1
FLIP 1 201
SET 2 206
SET 2 384
AND 2 1
XOR 1 2
XOR 1 2
FLIP 1 475
FLIP 1 209
FLIP 1 483
AND 2 1
XOR 1 2
OR 1 2
AND 1 2
XOR 2 1
SET 1 361
XOR 2 1
AND 1 2
XOR 2 1
AND 2 1
SET 1 155
OR 1 2
OR 2 1
AND 2 1
AND 2 1
AND 1 2
XOR 2 1
AND 2 1
SET 2 165
AND 1 2
FLIP 2 387
SET 2 233
AND 1 2
OR 2 1
OR 2 1
XOR 2 1
FLIP 2 192
AND 2 1
XOR 1 2
OR 1 2
XOR 2 1
SET 2 94
FLIP 2 399
XOR 2 1
SET 1 321
XOR 1 2
AND 2 1
XOR 1 2
SET 2 506
SET 2 458
OR 1 2
OR 1 2
OR 2 1
AND 1 2
AND 1 2
SET 1 417
SET 1 210
FLIP 1 77
XOR 1 2
SET 2 156
XOR 1 2
AND 1 2
OR 1 2
FLIP 2 338
OR 1 2
AND 2 1
AND 2 1
OR 2 1
AND 1 2
OR 1 2
FLIP 2 400
SET 1 352
OR 1 2
FLIP 1 28
SET 1 354
FLIP 2 379
XOR 1 2
OR 2 1
OR 1 2
AND 2 1
AND 1 2
XOR 2 1
FLIP 2 99
FLIP 2 181
OR 1 2
SET 2 146
AND 1 2
OR 2 1
AND 1 2
XOR 2 1
FLIP 2 15
FLIP 1 179
FLIP 1 509
OR 2 1
AND 1 2
AND 1 2
FLIP 1 430
AND 2 1
SET 2 394
FLIP 1 359
XOR 1 2
XOR 1 2
AND 2 1
FLIP 1 254
AND 2 1
SET 1 200
OR 2 1
FLIP 2 59
SET 1 415
FLIP 2 251
AND 1 2
FLIP 2 159
FLIP 1 362
SET 2 458
FLIP 1 401
SET 1 311
OR 1 2
AND 1 2
XOR 1 2
XOR 1 2
FLIP 1 308
AND 2 1
AND 1 2
XOR 2 1
FLIP 2 11
AND 2 1
OR 2 1
OR 1 2
OR 1 2
XOR 1 2
OR 1 2
OR 1 2
SET 2 161
AND 1 2
OR 1 2
AND 2 1
SET 1 490
OR 2 1
OR 2 1
OR 1 2
AND 2 1
AND 1 2
FLIP 1 157
XOR 1 2
OR 2 1
FLIP 2 380
FLIP 2 199
OR 2 1
OR 1 2
OR 1 2
FLIP 1 397
AND 1 2
SET 2 497
AND 2 1
FLIP 1 275
FLIP 2 96
AND 2 1
AND 2 1
FLIP 1 214
OR 1 2
FLIP 1 450
OR 1 2
AND 2 1
SET 2 400
FLIP 2 213
SET 2 472
FLIP 2 411
FLIP 2 430
AND 2 1
FLIP 1 409
SET 2 76
SET 1 345
AND 2 1
OR 1 2
XOR 1 2
SET 2 278
AND 2 1
OR 1 2
AND 2 1
SET 1 92
OR 1 2
SET 2 190
OR 1 2
XOR 2 1
XOR 2 1
AND 2 1
OR 1 2
OR 2 1
SET 1 126
AND 1 2
FLIP 1 276
XOR 2 1
OR 1 2
FLIP 2 281
XOR 1 2
FLIP 2 508
FLIP 1 342
OR 1 2
FLIP 1 448
AND 1 2
FLIP 1 159
XOR 2 1
SET 1 425
AND 1 2
FLIP 1 110
AND 1 2
SET 1 338
AND 1 2
OR 1 2
FLIP 1 90
XOR 2 1
SET 2 223
AND 2 1
FLIP 1 474
FLIP 1 89
XOR 2 1
OR 2 1
AND 1 2
AND 2 1
OR 2 1
OR 1 2
XOR 2 1
AND 2 1
OR 1 2
XOR 2 1
SET 1 230
SET 2 227
FLIP 2 55
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
XOR 1 2
FLIP 2 269
XOR 2 1
AND 1 2
SET 2 95
OR 1 2
OR 1 2
SET 2 186
AND 1 2
FLIP 1 374
OR 2 1
OR 2 1
XOR 2 1
OR 2 1
AND 2 1
AND 1 2
FLIP 2 182
SET 2 424
AND 2 1
FLIP 2 53
AND 2 1
SET 2 28
AND 1 2
OR 2 1
AND 2 1
OR 2 1
AND 1 2
SET 1 159
AND 1 2
OR 2 1
SET 1 11
XOR 2 1
AND 1 2
AND 1 2
FLIP 2 109
AND 2 1
OR 1 2
AND 1 2
OR 1 2
AND 1 2
SET 1 520
FLIP 1 484
OR 2 1
AND 1 2
FLIP 1 348
AND 1 2
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
AND 2 1
OR 1 2
AND 1 2
FLIP 1 34
SET 1 217
AND 1 2
SET 1 306
OR 2 1
AND 2 1
FLIP 2 130
SET 1 316
OR 1 2
SET 1 316
FLIP 1 34
SET 2 312
SET 1 334
FLIP 1 394
FLIP 1 67
AND 2 1
SET 2 216
SET 1 33
FLIP 2 378
AND 2 1
OR 1 2
AND 1 2
SET 1 115
XOR 2 1
XOR 2 1
SET 2 267
OR 1 2
AND 1 2
XOR 2 1
AND 1 2
FLIP 1 399
AND 2 1
SET 1 496
AND 1 2
XOR 1 2
AND 1 2
AND 1 2
SET 1 290
SET 2 270
FLIP 2 518
FLIP 2 502
XOR 2 1
AND 2 1
AND 1 2
OR 1 2
OR 1 2
OR 1 2
XOR 1 2
SET 2 14
AND 1 2
OR 1 2
AND 1 2
OR 2 1
SET 2 43
SET 2 143
SET 1 358
OR 2 1
OR 1 2
AND 2 1
FLIP 1 166
SET 1 252
XOR 1 2
SET 1 30
OR 1 2
SET 2 342
XOR 2 1
OR 1 2
XOR 2 1
AND 2 1
XOR 2 1
SET 1 361
OR 2 1
AND 1 2
XOR 2 1
OR 1 2
XOR 2 1
OR 2 1
FLIP 1 214
SET 1 261
SET 2 125
OR 1 2
FLIP 2 151
FLIP 1 92
OR 2 1
AND 1 2
SET 1 437
AND 2 1
OR 1 2
AND 1 2
AND 1 2
AND 2 1
SET 2 146
XOR 1 2
OR 1 2
AND 2 1
FLIP 1 263
AND 2 1
FLIP 1 233
OR 2 1
XOR 2 1
SET 1 291
FLIP 1 101
SET 2 375
OR 2 1
SET 2 445
AND 1 2
SET 1 48
FLIP 2 312
FLIP 2 452
XOR 1 2
OR 2 1
OR 1 2
XOR 2 1
SET 1 209
FLIP 1 155
FLIP 2 335
XOR 2 1
SET 1 505
XOR 2 1
XOR 1 2
XOR 2 1
FLIP 1 218
AND 1 2
FLIP 2 349
FLIP 1 56
AND 2 1
OR 2 1
SET 2 227
XOR 1 2
OR 2 1
XOR 2 1
FLIP 1 334
SET 1 43
OR 2 1
OR 1 2
XOR 1 2
FLIP 2 339
AND 1 2
FLIP 1 462
AND 1 2
OR 2 1
AND 2 1
AND 1 2
OR 1 2
FLIP 1 519
XOR 1 2
FLIP 2 348
FLIP 2 44
AND 2 1
OR 2 1
SET 1 107
XOR 1 2
OR 1 2
XOR 1 2
FLIP 2 266
AND 1 2
XOR 1 2
FLIP 2 497
XOR 1 2
AND 2 1
OR 1 2
FLIP 1 451
FLIP 1 316
FLIP 2 231
OR 2 1
FLIP 2 168
XOR 2 1
OR 2 1
XOR 2 1
FLIP 1 430
XOR 2 1
OR 2 1
OR 1 2
AND 1 2
SET 2 154
XOR 1 2
XOR 2 1
FLIP 1 73
XOR 1 2
OR 2 1
XOR 1 2
AND 2 1
OR 2 1
SET 2 473
OR 2 1
OR 2 1
XOR 1 2
AND 1 2
OR 2 1
OR 2 1
XOR 1 2
XOR 1 2
OR 1 2
AND 1 2
FLIP 1 295
XOR 1 2
SET 2 110
SET 1 477
FLIP 1 31
SET 2 191
XOR 1 2
XOR 1 2
AND 1 2
OR 2 1
XOR 2 1
SET 1 26
XOR 1 2
FLIP 1 514
AND 1 2
FLIP 1 128
XOR 2 1
SET 1 313
FLIP 2 379
XOR 2 1
SET 2 170
OR 2 1
AND 2 1
AND 2 1
AND 1 2
FLIP 2 368
SET 1 445
AND 2 1
OR 1 2
XOR 2 1
AND 2 1
OR 2 1
SET 2 85
SET 2 227
AND 2 1
FLIP 1 252
XOR 2 1
AND 2 1
AND 1 2
OR 1 2
FLIP 1 254
XOR 1 2
OR 2 1
OR 1 2
SET 2 454
FLIP 2 345
XOR 1 2
OR 2 1
SET 1 89
SET 1 319
SET 1 164
XOR 1 2
SET 1 299
FLIP 1 183
SET 2 418
FLIP 2 83
OR 2 1
OR 1 2
FLIP 2 152
XOR 1 2
OR 2 1
XOR 2 1
SET 1 150
XOR 1 2
XOR 2 1
OR 2 1
XOR 1 2
OR 2 1
SET 2 80
SET 2 208
AND 1 2
XOR 2 1
OR 2 1
XOR 2 1
SET 1 151
XOR 2 1
XOR 2 1
XOR 1 2
FLIP 1 428
SET 1 84
XOR 2 1
OR 1 2
FLIP 2 88
SET 2 40
AND 1 2
SET 2 182
FLIP 2 451
FLIP 1 504
XOR 2 1
XOR 2 1
AND 2 1
SET 1 481
FLIP 2 39
FLIP 1 97
OR 2 1
FLIP 2 265
OR 2 1
OR 2 1
XOR 1 2
OR 2 1
XOR 1 2
AND 1 2
SET 1 21
AND 2 1
XOR 1 2
SET 2 446
SET 2 71
FLIP 2 315
XOR 2 1
AND 2 1
OR 2 1
OR 1 2
XOR 2 1
XOR 2 1
SET 2 448
OR 2 1
AND 1 2
FLIP 1 228
SET 1 227
AND 2 1
SET 2 478
FLIP 1 408
AND 2 1
AND 1 2
AND 2 1
OR 2 1
SET 2 3
SET 2 514
OR 1 2
SET 2 490
AND 1 2
XOR 2 1
SET 1 172
OR 2 1
FLIP 2 150
XOR 2 1
OR 1 2
FLIP 2 433
AND 2 1
XOR 2 1
XOR 1 2
OR 2 1
AND 1 2
XOR 2 1
XOR 2 1
OR 1 2
OR 1 2
OR 1 2
XOR 2 1
XOR 2 1
AND 2 1
XOR 2 1
OR 1 2
AND 2 1
FLIP 2 115
XOR 2 1
FLIP 1 226
OR 2 1
OR 1 2
OR 2 1
SET 1 511
XOR 1 2
FLIP 2 423
OR 2 1
AND 2 1
AND 1 2
XOR 1 2
AND 2 1
OR 1 2
AND 1 2
XOR 2 1
OR 2 1
XOR 2 1
FLIP 2 164
AND 2 1
OR 1 2
XOR 1 2
FLIP 2 15
XOR 2 1
XOR 1 2
OR 2 1
FLIP 2 499
OR 1 2
AND 2 1
SET 1 172
FLIP 2 440
OR 1 2
OR 1 2
AND 1 2
OR 1 2
SET 2 188
OR 1 2
AND 2 1
OR 1 2
SET 1 306
OR 2 1
FLIP 2 488
OR 2 1
FLIP 1 362
AND 1 2
OR 1 2
FLIP 1 479
OR 2 1
OR 2 1
XOR 2 1
AND 2 1
XOR 1 2
SET 2 410
SET 1 221
XOR 2 1
AND 2 1
XOR 1 2
SET 2 136
FLIP 1 259
OR 2 1
AND 2 1
SET 1 42
AND 2 1
OR 1 2
FLIP 2 466
XOR 1 2
OR 1 2
OR 1 2
SET 1 362
XOR 2 1
OR 2 1
SET 1 426
XOR 1 2
SET 2 478
OR 2 1
FLIP 1 40
FLIP 1 316
AND 1 2
AND 2 1
FLIP 1 121
AND 1 2
XOR 2 1
AND 1 2
OR 2 1
OR 2 1
SET 2 399
XOR 2 1
FLIP 1 162
FLIP 2 256
SET 2 18
FLIP 1 458
AND 1 2
OR 2 1
AND 1 2
SET 1 219
XOR 2 1
XOR 2 1
AND 1 2
OR 2 1
XOR 2 1
FLIP 2 387
SET 2 254
XOR 1 2
XOR 1 2
AND 2 1
SET 2 158
AND 1 2
SET 1 48
XOR 2 1
OR 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
FLIP 2 369
AND 2 1
OR 2 1
FLIP 1 5
FLIP 1 410
FLIP 2 350
OR 2 1
AND 1 2
OR 2 1
XOR 1 2
OR 2 1
OR 2 1
AND 2 1
OR 2 1
AND 2 1
XOR 1 2
OR 2 1
FLIP 2 314
SET 1 111
FLIP 1 207
SET 2 266
AND 2 1
SET 2 402
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 185
FLIP 1 95
OR 1 2
SET 1 66
AND 1 2
FLIP 2 362
FLIP 2 463
FLIP 1 24
AND 1 2
SET 1 203
SET 1 315
FLIP 1 341
AND 2 1
SET 2 200
FLIP 1 370
XOR 1 2
OR 1 2
XOR 1 2
AND 2 1
FLIP 1 134
AND 1 2
AND 1 2
AND 2 1
AND 1 2
SET 1 283
OR 1 2
XOR 1 2
SET 1 73
FLIP 2 5
XOR 1 2
FLIP 2 15
XOR 1 2
FLIP 2 362
XOR 2 1
FLIP 1 143
XOR 2 1
AND 2 1
XOR 1 2
FLIP 1 317
AND 1 2
AND 1 2
FLIP 2 268
AND 2 1
SET 2 334
SET 1 108
AND 2 1
XOR 1 2
SET 1 75
OR 2 1
AND 2 1
FLIP 1 432
SET 2 176
SET 1 498
XOR 1 2
FLIP 2 380
SET 2 428
AND 1 2
AND 2 1
XOR 2 1
AND 1 2
AND 1 2
SET 1 397
XOR 2 1
XOR 1 2
AND 1 2
OR 1 2
SET 1 490
FLIP 1 258
AND 1 2
FLIP 1 192
FLIP 1 188
AND 2 1
OR 1 2
FLIP 2 165
XOR 2 1
FLIP 2 183
XOR 2 1
OR 2 1
FLIP 1 106
AND 2 1
FLIP 1 311
AND 2 1
OR 1 2
OR 1 2
FLIP 1 78
XOR 1 2
XOR 2 1
AND 2 1
XOR 1 2
OR 2 1
AND 2 1
FLIP 2 457
AND 2 1
SET 1 128
AND 1 2
AND 2 1
SET 1 257
FLIP 2 202
AND 1 2
SET 1 218
SET 2 35
AND 1 2
SET 2 60
SET 2 273
AND 1 2
SET 2 202
XOR 2 1
OR 2 1
FLIP 1 83
XOR 1 2
FLIP 2 494
OR 1 2
AND 1 2
XOR 1 2
OR 2 1
XOR 1 2
XOR 1 2
FLIP 1 454
AND 1 2
SET 2 267
AND 2 1
AND 1 2
XOR 1 2
FLIP 2 319
XOR 2 1
FLIP 1 472
AND 2 1
FLIP 1 283
OR 1 2
FLIP 1 437
OR 2 1
AND 1 2
OR 1 2
FLIP 2 107
AND 2 1
XOR 2 1
AND 2 1
OR 2 1
SET 2 479
FLIP 2 200
AND 1 2
OR 2 1
FLIP 2 52
FLIP 1 440
SET 2 19
SET 2 228
XOR 1 2
XOR 2 1
OR 1 2
FLIP 2 483
AND 2 1
AND 1 2
FLIP 1 185
SET 1 498
AND 2 1
FLIP 1 185
OR 1 2
XOR 1 2
SET 1 451
AND 2 1
AND 1 2
XOR 1 2
SET 2 465
SET 1 516
SET 2 306
AND 2 1
OR 1 2
FLIP 2 282
OR 2 1
XOR 1 2
FLIP 2 401
FLIP 1 453
FLIP 2 59
AND 1 2
OR 1 2
AND 1 2
SET 2 124
AND 1 2
FLIP 1 152
XOR 2 1
OR 2 1
SET 2 314
FLIP 1 139
OR 2 1
AND 2 1
OR 2 1
OR 2 1
AND 1 2
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
XOR 1 2
FLIP 1 250
FLIP 1 404
OR 2 1
XOR 2 1
XOR 1 2
AND 1 2
FLIP 1 352
SET 2 119
FLIP 2 273
OR 1 2
XOR 2 1
OR 2 1
OR 1 2
FLIP 2 403
AND 2 1
AND 1 2
FLIP 2 288
SET 2 38
XOR 1 2
XOR 1 2
XOR 2 1
FLIP 1 101
OR 1 2
FLIP 2 86
OR 1 2
SET 2 364
OR 2 1
AND 1 2
FLIP 1 331
OR 1 2
XOR 1 2
XOR 1 2
FLIP 2 95
SET 1 511
OR 1 2
XOR 2 1
XOR 1 2
OR 2 1
FLIP 2 519
FLIP 2 467
SET 2 373
AND 1 2
AND 1 2
AND 2 1
FLIP 2 356
OR 1 2
FLIP 2 26
SET 2 216
XOR 1 2
OR 1 2
SET 1 136
FLIP 2 130
AND 1 2
AND 1 2
OR 2 1
XOR 1 2
SET 1 491
AND 2 1
SET 2 270
AND 1 2
OR 1 2
SET 2 223
AND 1 2
AND 2 1
XOR 1 2
AND 2 1
AND 2 1
OR 1 2
XOR 2 1
OR 1 2
XOR 2 1
OR 2 1
FLIP 1 37
AND 1 2
SET 1 344
FLIP 2 458
OR 2 1
SET 2 484
FLIP 1 496
OR 1 2
SET 1 430
SET 2 487
XOR 1 2
AND 2 1
SET 2 175
FLIP 1 81
SET 1 12
XOR 2 1
AND 2 1
XOR 1 2
AND 2 1
AND 1 2
FLIP 2 386
AND 2 1
SET 2 167
FLIP 2 225
XOR 1 2
OR 2 1
SET 2 338
XOR 2 1
SET 1 203
FLIP 2 35
SET 1 435
XOR 1 2
AND 1 2
AND 2 1
SET 2 436
FLIP 1 448
SET 2 167
SET 1 210
XOR 1 2
XOR 1 2
FLIP 1 194
AND 2 1
SET 2 64
XOR 1 2
FLIP 2 104
OR 2 1
SET 2 423
XOR 2 1
AND 2 1
FLIP 1 443
OR 2 1
OR 2 1
XOR 2 1
FLIP 2 20
XOR 1 2
OR 1 2
OR 2 1
SET 2 357
OR 2 1
SET 2 162
XOR 1 2
SET 2 177
XOR 2 1
FLIP 1 425
FLIP 1 275
XOR 2 1
AND 2 1
OR 1 2
OR 1 2
XOR 1 2
OR 1 2
XOR 2 1
AND 1 2
AND 2 1
AND 2 1
OR 1 2
SET 1 152
AND 2 1
OR 2 1
FLIP 1 495
AND 2 1
SET 2 477
FLIP 2 42
AND 2 1
SET 2 371
OR 1 2
AND 1 2
SET 1 106
SET 1 44
FLIP 2 192
FLIP 2 447
OR 1 2
OR 2 1
XOR 2 1
SET 1 303
FLIP 1 371
XOR 2 1
SET 2 216
AND 1 2
SET 2 290
SET 1 69
SET 1 473
FLIP 1 38
FLIP 2 135
AND 1 2
XOR 1 2
FLIP 2 24
XOR 1 2
OR 2 1
XOR 1 2
SET 1 205
OR 2 1
SET 2 80
XOR 2 1
SET 1 194
AND 2 1
FLIP 2 81
OR 2 1
XOR 1 2
AND 2 1
SET 1 15
XOR 2 1
AND 2 1
XOR 1 2
XOR 1 2
XOR 2 1
XOR 1 2
AND 2 1
FLIP 1 339
SET 2 345
XOR 2 1
AND 2 1
SET 2 481
FLIP 2 106
OR 1 2
OR 1 2
OR 2 1
OR 2 1
FLIP 2 239
AND 1 2
SET 2 295
FLIP 2 184
FLIP 1 80
AND 1 2
AND 1 2
AND 1 2
AND 1 2
XOR 1 2
AND 1 2
OR 2 1
OR 2 1
FLIP 1 62
OR 1 2
XOR 1 2
AND 2 1
SET 2 137
FLIP 1 107
XOR 2 1
AND 2 1
XOR 1 2
OR 2 1
AND 1 2
AND 2 1
AND 2 1
FLIP 1 328
FLIP 2 75
OR 1 2
SET 1 454
OR 1 2
OR 1 2
SET 1 372
OR 1 2
FLIP 2 131
SET 2 96
FLIP 1 257
SET 1 192
SET 2 119
AND 2 1
FLIP 1 246
XOR 1 2
FLIP 1 236
OR 2 1
OR 1 2
OR 2 1
SET 2 35
XOR 1 2
AND 2 1
SET 2 366
AND 2 1
XOR 1 2
FLIP 1 501
SET 1 451
FLIP 1 356
SET 2 371
AND 2 1
XOR 2 1
SET 1 505
OR 2 1
SET 1 282
FLIP 1 344
FLIP 1 60
XOR 1 2
FLIP 2 148
SET 2 71
FLIP 2 73
SET 1 389
AND 2 1
FLIP 2 242
FLIP 2 364
FLIP 2 503
FLIP 1 322
OR 1 2
FLIP 2 454
AND 1 2
FLIP 1 135
AND 1 2
FLIP 1 241
AND 1 2
XOR 1 2
FLIP 1 349
OR 1 2
FLIP 2 357
XOR 2 1
FLIP 2 394
SET 1 371
XOR 1 2
SET 1 294
XOR 2 1
XOR 1 2
AND 1 2
AND 2 1
FLIP 2 513
OR 1 2
OR 2 1
OR 1 2
AND 2 1
SET 1 243
XOR 1 2
XOR 2 1
SET 2 429
FLIP 1 324
SET 1 15
SET 1 245
SET 2 201
AND 2 1
SET 2 320
SET 2 516
SET 2 108
OR 2 1
SET 1 260
FLIP 1 446
XOR 2 1
SET 2 519
FLIP 1 92
AND 2 1
AND 2 1
OR 1 2
AND 2 1
FLIP 2 479
SET 1 237
AND 1 2
OR 1 2
SET 2 400
AND 1 2
XOR 1 2
SET 1 456
XOR 2 1
XOR 1 2
OR 1 2
SET 1 297
XOR 2 1
AND 1 2
AND 1 2
XOR 1 2
FLIP 2 9
FLIP 1 144
OR 1 2
OR 2 1
AND 1 2
OR 1 2
AND 2 1
FLIP 1 92
XOR 2 1
AND 2 1
XOR 1 2
XOR 1 2
SET 1 413
FLIP 1 319
OR 1 2
AND 2 1
FLIP 1 498
AND 2 1
SET 1 322
AND 2 1
SET 1 177
SET 2 206
OR 2 1
SET 2 107
OR 1 2
AND 1 2
AND 1 2
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
OR 2 1
FLIP 2 248
XOR 2 1
XOR 2 1
XOR 2 1
FLIP 2 335
AND 1 2
SET 2 465
AND 2 1
FLIP 1 79
SET 2 460
XOR 2 1
SET 2 241
SET 2 513
FLIP 2 257
XOR 2 1
FLIP 1 468
SET 2 252
SET 1 241
FLIP 1 220
SET 1 434
OR 2 1
OR 2 1
FLIP 1 297
FLIP 1 114
AND 2 1
FLIP 2 259
XOR 2 1
SET 1 468
FLIP 1 429
SET 2 332
AND 1 2
FLIP 2 104
XOR 2 1
OR 2 1
OR 1 2
FLIP 1 55
FLIP 2 68
AND 1 2
AND 2 1
FLIP 2 210
XOR 2 1
FLIP 1 36
AND 2 1
SET 2 84
SET 2 300
XOR 2 1
FLIP 2 40
OR 1 2
SET 2 480
XOR 1 2
XOR 2 1
AND 2 1
SET 1 117
XOR 2 1
